1st,2nd,3rd
4529,7748,4112
1303,9290,1834
2199,9772,7148
8894,0783,7707
7039,0397,2631
5084,6792,6855
0704,6662,1006
2307,4342,2130
0471,2700,3523
5790,8444,2996
3974,6855,0507
5108,6024,8960
9345,0164,5536
2905,7040,0386
0969,3136,3813
0055,0229,2454
9281,4378,0772
7839,4309,8372
7124,7798,6747
6771,4220,0642
5429,6586,9736
8721,2890,0455
0275,3052,0805
1236,4187,8195
0815,5632,5779
0527,6404,9424
6225,4092,1292
4898,6125,3761
8968,8857,0274
0676,2608,5829
6614,4054,2718
8548,8411,7869
8244,0525,3873
0076,7317,3245
0886,5389,8503
4219,3627,5236
9290,8353,4589
7633,8038,3754
4654,9926,0878
3008,2101,5179
2581,0732,7575
0723,4844,8024
5848,5966,6498
2583,7081,6970
1059,2999,7087
5875,7545,4059
4631,9548,5845
3903,6439,6466
0622,6260,8004
7632,7829,5291
0499,7384,6122
0349,9607,1496
1525,5381,9216
6812,3822,4104
6599,9480,8573
8648,5997,3343
3397,4512,6366
4258,6631,6335
4709,6015,3016
8750,0358,3003
6908,1973,4162
9165,3326,7251
7519,6174,8107
4366,3577,9671
5572,0942,0269
6438,5451,4082
4875,5242,9379
5046,1082,6310
2398,8145,9014
5079,5840,8026
7090,3416,7055
1596,8181,8515
6405,4530,2962
5740,0948,4538
8395,7278,2539
2414,4437,5944
8829,1026,3643
5030,4190,0808
1235,3203,5559
9667,3090,6531
0096,8990,2641
9485,8010,6765
5023,9882,7995
9421,4916,0449
7248,1088,1533
7131,1196,8840
0082,5484,5947
5555,6811,5452
3332,3418,8394
9911,6313,6955
7017,8547,5914
6448,6692,2766
4180,1330,3410
8872,8596,4018
2612,3310,0493
2153,6588,0304
9383,7869,5147
2007,9325,8813
4565,0544,2464
2056,3379,0733
6614,2141,9360
3165,4733,4893
6741,4355,7334
3563,9430,1762
7650,4109,7932
0154,7288,5788
9268,4808,3752
3554,5484,7954
9273,7481,0044
2910,3255,0730
3489,8645,9806
7843,3629,9445
9037,7391,9968
9323,7939,8391
7476,1502,6741
9384,4355,9443
1313,8790,6495
7440,4660,6059
8887,9258,7767
3328,1600,8498
7176,1475,2817
4705,4373,4308
8053,8001,8590
1167,3289,0132
9033,0521,2221
4185,4520,2523
3426,0234,0701
8729,3999,8516
2775,3297,3939
2053,6108,0232
2415,0158,3109
2169,8358,7983
2959,6828,5287
5624,3130,4114
6875,7131,1260
3810,5828,1016
9412,0098,5479
0569,0600,7229
9076,9377,2493
2128,7237,1472
1271,4832,4911
9695,7002,7473
5656,4223,7003
6230,3438,1588
7890,9455,9231
2143,1007,8131
6614,6321,5160
4763,2362,5023
9784,2930,0324
6192,4022,0260
6612,7224,5911
2627,3907,9097
4416,6791,3397
0726,1152,1202
1172,9717,8281
1627,2195,9821
7111,9740,7293
9121,8531,8472
1283,3312,7322
6949,2042,9046
6751,7144,0879
0118,3859,0081
4607,8010,3237
1168,9363,7493
1559,6073,9209
2630,8028,1886
2636,9478,3171
6720,2300,8707
1906,8593,1656
8893,2325,8030
3819,2655,5441
8343,9847,2598
8458,6936,4661
6324,3039,8245
8820,8186,2407
2390,6910,7869
7809,9810,3429
9438,5496,8032
1882,5994,9167
9741,7694,5876
8501,2660,3192
0521,6203,3512
2674,9151,5877
6248,4110,2469
5970,3594,1712
3384,2261,6884
1115,8214,7288
0059,8900,8689
9666,3219,8128
7470,4909,9384
7344,4370,5263
1685,5579,2056
7485,7321,3262
4688,9906,2923
6314,7130,1209
8868,7339,0173
5690,4476,3831
3870,6287,2570
2398,8340,6541
2031,8196,1808
9106,4578,8513
0033,6818,0954
3904,3501,3133
2712,4688,7246
4207,9708,3227
6669,4942,2119
8448,2610,4393
1158,4926,2351
5326,0997,4671
4149,8397,9652
8426,2170,9063
9968,6776,1967
8571,1081,6056
5257,9772,6196
1474,4179,6087
4931,8115,2739
8632,0963,0235
6616,8206,9524
3459,4802,7291
4490,6310,0363
1192,4291,7872
8202,9586,5826
9133,5434,2256
9585,8571,7827
6578,6899,8809
2953,5179,6228
8867,2121,2349
2697,0419,4904
2005,3865,9289
2836,8208,5083
4983,3144,3274
3019,4936,3831
2330,9721,7039
3423,6210,6642
6808,6505,4166
3558,3297,6332
7212,6749,8426
0084,2508,1166
3533,7873,9093
3775,9588,0710
9131,3151,7897
3861,4681,4182
3137,2961,2296
4864,4218,5442
5816,2232,8775
9769,8512,0883
4440,6936,3680
7718,5725,9773
2758,8605,9037
7356,2425,6122
6521,0608,0947
4865,5565,3955
5548,2036,9325
4219,0016,2411
4942,4670,4583
7886,4159,9555
6029,2745,3815
2986,9667,2066
2962,0790,7635
8994,1132,5811
0008,0279,1966
4787,6713,5718
9739,1279,9074
6609,9865,2100
2663,6994,7449
0473,1954,2893
3267,7200,6343
2594,9939,8199
8697,1593,1600
7628,0587,6354
0102,7615,9271
0236,6555,9691
9448,7973,1429
1100,0604,3505
9748,6854,1615
9358,0433,3004
8823,1977,2242
0397,0168,1072
7638,9114,0933
