next_win,encoded
1,0
100,1
1000,2
1001,3
1002,4
1003,5
1004,6
1005,7
1006,8
1008,9
1009,10
1010,11
1011,12
1012,13
1013,14
1014,15
1015,16
1017,17
102,18
1020,19
1023,20
1027,21
1028,22
103,23
1030,24
1032,25
1033,26
1034,27
1035,28
1036,29
1037,30
1038,31
1039,32
104,33
1040,34
1041,35
1042,36
1044,37
1045,38
1046,39
1047,40
1048,41
1049,42
105,43
1051,44
1052,45
1053,46
1054,47
1055,48
1056,49
1057,50
1058,51
1059,52
106,53
1060,54
1061,55
1062,56
1063,57
1064,58
1065,59
1066,60
1067,61
1068,62
1069,63
107,64
1070,65
1071,66
1072,67
1073,68
1076,69
1077,70
1078,71
1079,72
108,73
1080,74
1081,75
1082,76
1084,77
1085,78
1086,79
1087,80
1089,81
109,82
1090,83
1091,84
1092,85
1094,86
1095,87
1096,88
1098,89
1099,90
11,91
1100,92
1101,93
1103,94
1104,95
1105,96
1106,97
1109,98
111,99
1110,100
1111,101
1112,102
1113,103
1114,104
1115,105
1116,106
1118,107
1119,108
112,109
1120,110
1121,111
1122,112
1125,113
1126,114
1127,115
1129,116
1131,117
1134,118
1135,119
1137,120
1138,121
1139,122
1140,123
1143,124
1144,125
1145,126
1146,127
1148,128
1149,129
115,130
1150,131
1151,132
1154,133
1155,134
1156,135
1157,136
1158,137
1159,138
1160,139
1161,140
1165,141
1166,142
1167,143
1168,144
1169,145
117,146
1170,147
1172,148
1174,149
1175,150
1176,151
1178,152
1179,153
118,154
1180,155
1182,156
1183,157
1184,158
1185,159
1187,160
119,161
1190,162
1192,163
1193,164
1194,165
1195,166
1196,167
1197,168
1198,169
1199,170
120,171
1200,172
1201,173
1202,174
1203,175
1205,176
1206,177
1207,178
1208,179
1209,180
121,181
1212,182
1214,183
1215,184
1217,185
1219,186
1221,187
1222,188
1224,189
1225,190
1226,191
1227,192
1229,193
123,194
1230,195
1233,196
1235,197
1236,198
1237,199
1238,200
1239,201
124,202
1240,203
1242,204
1244,205
1245,206
1246,207
1247,208
1248,209
1249,210
125,211
1251,212
1253,213
1254,214
1255,215
1259,216
1260,217
1261,218
1262,219
1263,220
1264,221
1266,222
1267,223
1268,224
1269,225
127,226
1270,227
1271,228
1273,229
1274,230
1275,231
1276,232
1277,233
1278,234
128,235
1280,236
1283,237
1285,238
1286,239
1287,240
129,241
1290,242
1291,243
1292,244
1294,245
1295,246
